PName,Yseason,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,VHI,SMCI,EVI,GNDVI,SAVI,SR,EDI,TCI,albedo,Yield,CWP,ETa,LST
CP1,LS2022,0.45705,0.44065,0.4286278,0.45041665,0.43656665,0.46943335,0.50225557,0.4840722,0.5255722,0.18808889,0.10368889,0.46101113,0.34817222,0.013126687,0.15169078,-2.604806,0.06940516,0.07053656,0.04702804,0.0619443,0.020837203,0.21704866,4.781396,4.923515,97.113846,40.8
CP2,LS2022,0.4830722,0.46576665,0.4543722,0.48028887,0.47481113,0.5039778,0.53991665,0.50508335,0.56186113,0.19440555,0.10340555,0.47943335,0.35861667,0.007429479,0.14913858,-0.012903862,0.06091675,0.05134892,0.03423519,0.03793892,0.004745914,0.16501325,5.477114,4.442357,123.29296,38.02
CP3,LS2022,0.51644443,0.49824443,0.48691113,0.52046113,0.51805557,0.55465,0.5948722,0.55385557,0.62215,0.2072389,0.10351666,0.53090557,0.40125557,0.005973326,0.14447467,0.15344931,0.079612665,0.062563404,0.0417117,0.04239314,0.003836977,0.26141337,3.7991194,5.6708736,66.99355,38.02
CP4,LS2022,0.52368887,0.51536113,0.49998335,0.52318335,0.51981665,0.56605557,0.60665557,0.56705557,0.62981665,0.2126611,0.10351666,0.5080278,0.37898333,0.041598506,0.18496457,-0.57086235,0.08048087,0.08819294,0.058799405,0.058943566,0.004960454,0.26027715,4.0229858,5.5165367,72.925934,38.02
CP5,LS2022,0.5187722,0.51275,0.4996222,0.5243278,0.5144278,0.5514722,0.58656665,0.56463887,0.60916665,0.21128333,0.10347222,0.5061778,0.36766667,0.03097181,0.18630338,1.5307593,0.08109449,0.0873942,0.05826737,0.062511854,0.01559505,0.27060917,3.8820574,5.615409,69.132385,38.02
CP6,LS2022,0.5097278,0.49331665,0.4834278,0.51428887,0.51229443,0.55458887,0.59166665,0.55580557,0.61811665,0.20905557,0.10355555,0.51241665,0.37315557,0.017361244,0.1723402,-0.19962314,0.093433335,0.0952363,0.06349604,0.05893315,0.00600214,0.2574383,4.1365674,5.370259,77.02851,41.21
CP7,LS2022,0.4846222,0.46926113,0.46081113,0.49351113,0.48791113,0.52888887,0.56578335,0.53381113,0.5918722,0.19972222,0.10353334,0.5013778,0.36922222,0.008679865,0.1590037,-1.9821525,0.09823384,0.087282896,0.05819303,0.05763551,0.007190134,0.2486437,4.084611,5.409394,75.50969,41.21
CP8,LS2022,0.4943722,0.4790278,0.46795,0.50835557,0.50228887,0.5428778,0.58273887,0.55145557,0.60613887,0.20475,0.10338889,0.51343887,0.37947778,0.017057711,0.16445918,0.32543465,0.10877091,0.08582908,0.057223395,0.05998102,0.010903847,0.2497798,4.158118,5.359204,77.58842,41.21
CP9,LS2022,0.48808887,0.46704443,0.45745,0.48221665,0.484,0.53748887,0.576,0.5401778,0.59825557,0.20124445,0.10332778,0.4763722,0.3475611,0.053007577,0.2099699,20.23878,0.11320916,0.13613597,0.09076477,0.07674961,0.006465509,0.29342076,3.2058618,5.990614,53.514893,41.21
CP10,LS2022,0.50608887,0.48078887,0.4740222,0.51120557,0.50770557,0.54798335,0.5849,0.54610557,0.60899443,0.2084,0.10327222,0.51973335,0.38576667,0.011630598,0.15798731,-1.1293825,0.09025755,0.07259287,0.048398945,0.04722761,0.000999467,0.31672224,2.4845142,6.454761,38.491188,41
CP11,LS2022,0.49675557,0.4822778,0.47133887,0.5036778,0.5031778,0.54850557,0.58741665,0.55406113,0.60948335,0.20848333,0.10335,0.52163335,0.39027778,0.019065937,0.16467537,-0.20000179,0.10907753,0.10724085,0.07149932,0.06604813,0.010861324,0.33359116,1.9649845,6.7771063,28.994463,41
CP12,LS2022,0.50033887,0.4805278,0.47463887,0.50476665,0.5054778,0.56263887,0.60434443,0.55904443,0.63196113,0.21121667,0.10343889,0.51973335,0.3891889,0.024457898,0.16952796,0.27975202,0.11028843,0.11930149,0.07954035,0.07110545,0.001441133,0.34498328,1.454606,7.0972595,20.495424,41
